Location,Corporate Tax rates
Afghanistan,20
Albania,15
Algeria,26
Andorra,10
Angola,30
Anguilla,0
Antigua and Barbuda,25
Argentina,30
Armenia,20
Aruba,25
Australia,30
Austria,25
Azerbaijan,20
Bahamas,0
Bahrain,0
Bangladesh,25
Barbados,5.5
Belarus,18
Belgium,29
Benin,30
Bermuda,0
Bolivia,25
"Bonaire, Saint Eustatius and Saba",25
Bosnia and Herzegovina,10
Botswana,22
Brazil,34
Brunei Darussalam,18.5
Bulgaria,10
Burkina Faso,28
Burundi,30
Cambodia,20
Cameroon,33
Canada,26.5
Cayman Islands,0
Chile,27
China,25
Colombia,33
Congo (Democratic Republic of the),35
Costa Rica,30
Croatia,18
Curacao,22
Cyprus,12.5
Czech Republic,19
Denmark,22
Djibouti,25
Dominica,25
Dominican Republic,27
Ecuador,25
Egypt,22.5
El Salvador,30
Estonia,20
Ethiopia,30
Fiji,20
Finland,20
France,31
Gabon,30
Gambia,31
Georgia,15
Germany,30
Ghana,25
Gibraltar,10
Greece,28
Grenada,28
Guatemala,25
Guernsey,0
Honduras,25
Hong Kong SAR,16.5
Hungary,9
Iceland,20
India,30
Indonesia,25
Iraq,15
Ireland,12.5
Isle of Man,0
Israel,23
Italy,24
Ivory Coast,25
Jamaica,25
Japan,30.62
Jersey,0
Jordan,20
Kazakhstan,20
Kenya,30
"Korea, Republic of",25
Kuwait,15
Kyrgyzstan,10
Latvia,20
Lebanon,17
Libya,20
Liechtenstein,12.5
Lithuania,15
Luxembourg,26.01
Macau,12
Macedonia,10
Madagascar,20
Malawi,30
Malaysia,24
Malta,35
Mauritius,15
Mexico,30
Moldova,12
Monaco,33
Mongolia,25
Montenegro,9
Morocco,31
Mozambique,32
Myanmar,25
Namibia,32
Netherlands,25
New Zealand,28
Nicaragua,30
Nigeria,30
Norway,22
Oman,15
Pakistan,30
Palestinian Territory,15
Panama,25
Papua New Guinea,30
Paraguay,10
Peru,29.5
Philippines,30
Poland,19
Portugal,21
Qatar,10
Romania,16
Russia,20
Rwanda,30
Saint Kitts and Nevis,33
Saint Lucia,30
Saint Vincent and the Grenadines,30
Samoa,27
Saudi Arabia,20
Senegal,30
Serbia,15
Sierra Leone,30
Singapore,17
Sint Maarten (Dutch part),35
Slovakia,21
Slovenia,19
Solomon Islands,30
South Africa,28
Spain,25
Sri Lanka,28
St Maarten,35
Sudan,35
Suriname,36
Swaziland,27.5
Sweden,21.4
Switzerland,18
Syria,28
Taiwan,20
Tanzania,30
Thailand,20
Trinidad and Tobago,25
Tunisia,25
Turkey,22
Turkmenistan,20
Turks and Caicos Islands,0
Uganda,30
Ukraine,18
United Arab Emirates,55
United Kingdom,19
United States,27
Uruguay,25
Uzbekistan,7.5
Vanuatu,0
Venezuela,34
Vietnam,20
Yemen,20
Zambia,35
Zimbabwe,25
