Country, max. avg. percipitation ,  min avg. Percipitation
Afghanistan ,134 , 0.13
Albania ,302 , 0.44
Algeria ,25.26 , 0.33
American Samoa ,870 , 12.28
Andorra ,214 , 1.49
Angola ,310 , 0
Antigua and Barbuda ,662 , 37.25
Argentina ,112 , 8
Armenia ,149 , 0.32
Aruba ,400 , 0.27
Australia ,226 , 5.69
Austria ,246 , 3.12
Azerbaijan ,139 , 0.89
Bahrain ,104 , 0
Bangladesh ,1005 , 0.01
Barbados ,620 , 9.6
Belarus ,155 , 6.01
Belgium ,198 , 1.67
Belize ,589 , 4.43
Bulgaria ,153 , 1.59
Burkina Faso ,311 , 0
Burundi ,327 , 0.02
Cambodia ,786 , 0.44
Cameroon ,359 , 0.12
Canada ,71.16 , 14.32
Cape Verde ,412 , 0.39
Cayman Islands ,414 , 1.6
Central African Republic ,310 , 0.22
Chad ,204 , 0.1
Chile ,170 , 11.95
China ,141 , 1.54
Colombia ,564 , 38.69
Comoros ,649 , 1.78
Costa Rica ,733 , 13.06
Egypt ,22.63 , 0.21
El Salvador ,645 , 0.35
Equatorial Guinea ,598 , 9.54
Eritrea ,201 , 0.02
Estonia ,154 , 4.49
Ethiopia ,420 , 0.05
Faroe Islands ,381 , 8.72
Fiji ,744 , 37.63
Finland ,117 , 4.25
France ,180 , 5.91
French Polynesia ,652 , 17.09
Gabon ,445 , 0.81
Georgia ,188 , 7.15
Germany ,136 , 2.79
Ghana ,290 , 0.01
Greece ,230 , 0.3
Greenland ,79.88 , 17.36
Hungary ,158 , 1.02
Iceland ,227 , 5.88
India ,342 , 1.06
Indonesia ,383 , 74.7
Iran ,81.4 , 0.15
Iraq ,82.94 , 0.01
Ireland ,273 , 5.71
Israel ,183 , 0
Italy ,190 , 10.25
Ivory Coast ,374 , 0.04
Jamaica ,1162 , 1.71
Japan ,389 , 34.53
Jordan ,70.36 , 0
Kazakhstan ,55.84 , 2.87
Kenya ,318 , 0.99
Kiribati ,876 , 1.96
Kuwait ,84.12 , 0
Kyrgyzstan ,120 , 0.84
Laos ,524 , 1.61
Latvia ,150 , 4.99
Lebanon ,336 , 0
Malawi ,369 , 0
Malaysia ,543 , 63.62
Maldives ,480 , 51.79
Mali ,174 , 0
Malta ,281 , 0
Marshall Islands ,689 , 25.93
Mauritania ,72.53 , 0.02
Mauritius ,825 , 11.67
Mayotte ,879 , 0.37
Mexico ,234 , 3.72
Micronesia ,705 , 68.25
Moldova ,176 , 0.73
Monaco ,367 , 0.26
Mongolia ,114 , 0.34
Montenegro ,309 , 1.07
Morocco ,126 , 0
Mozambique ,344 , 0.78
Myanmar ,749 , 0.4
Namibia ,190 , 0.01
North Korea ,460 , 1.2
Northern Mariana Islands ,1982 , 101
Norway ,201 , 18.92
Oman ,82.67 , 0.03
Pakistan ,171 , 0.15
Palau ,757 , 14.33
Palestine ,323 , 0
Panama ,885 , 12.51
Papua New Guinea ,508 , 62.2
Paraguay ,248 , 2.68
Peru ,345 , 15.28
Philippines ,510 , 18.23
Poland ,159 , 3.42
Portugal ,345 , 0.33
Puerto Rico ,610 , 5.81
Qatar ,84.9 , 0
Republic of the Congo ,286 , 12.84
Russia ,74.67 , 10.3
Singapore ,720 , 3.07
Slovakia ,193 , 0.99
Slovenia ,348 , 1.16
Solomon Islands ,812 , 44
Somalia ,136 , 0.75
South Africa ,146 , 2.5
South Korea ,606 , 2.59
Spain ,171 , 2.13
Sri Lanka ,688 , 1.2
St Kitts and Nevis ,622 , 23
St Lucia ,738 , 5.18
St Vincent and the Grenadines ,439 , 2.11
Sudan ,164 , 0.25
Suriname ,670 , 16.12
Swaziland ,389 , 0.08
Sweden ,135 , 7.8
Switzerland ,315 , 9.71
Syria ,135 , 0
Tajikistan ,164 , 0.1
Trinidad and Tobago ,378 , 3.94
Tunisia ,128 , 0
Turkey ,139 , 2.07
Turkmenistan ,65.11 , 0
Uganda ,283 , 7.35
Ukraine ,119 , 4.64
United Arab Emirates ,95.78 , 0
United Kingdom ,233 , 11.23
United States ,88.15 , 20.59
Uruguay ,359 , 7.7
Uzbekistan ,76.29 , 0.01
Vanuatu ,682 , 27.63
Venezuela ,433 , 9.06
Vietnam ,437 , 5.84
Virgin Islands ,823 , 9.03
Yemen ,107 , 0.08
Zambia ,319 , 0
