Location,Individual Income Tax rates
Afghanistan,20
Albania,23
Algeria,35
Angola,17
Anguilla,0
Antigua and Barbuda,0
Argentina,35
Armenia,36
Aruba,52
Australia,45
Austria,55
Bahamas,0
Bahrain,0
Bangladesh,30
Barbados,40
Belarus,13
Belgium,50
Bermuda,0
Bosnia and Herzegovina,10
Botswana,25
Brazil,27.5
Brunei Darussalam,0
Bulgaria,10
Cambodia,20
Canada,33
Cayman Islands,0
Chile,35
China,45
Colombia,39
Congo,30
Congo (Democratic Republic of the),40
Costa Rica,15
Croatia,36
Curacao,46.5
Cyprus,35
Czech Republic,22
Denmark,55.89
Dominica,35
Dominican Republic,25
Ecuador,35
Egypt,22.5
El Salvador,30
Estonia,20
Ethiopia,35
Fiji,20
Finland,53.75
France,45
Georgia,20
Germany,45
Ghana,30
Gibraltar,25
Greece,45
Grenada,28
Guatemala,7
Guernsey,20
Honduras,25
Hong Kong SAR,15
Hungary,15
Iceland,46.24
India,35.88
Indonesia,30
Iraq,15
Ireland,48
Isle of Man,20
Israel,50
Italy,43
Jamaica,30
Japan,55.95
Jersey,20
Jordan,30
Kazakhstan,10
Kenya,30
"Korea, Republic of",42
Kuwait,0
Latvia,31.4
Lebanon,20
Lithuania,20
Luxembourg,45.78
Macau,12
Macedonia,10
Malawi,30
Malaysia,28
Malta,35
Mauritania,40
Mauritius,15
Mexico,35
Moldova,12
Mongolia,10
Montenegro,9
Morocco,38
Mozambique,32
Myanmar,25
Namibia,37
Netherlands,51.75
Netherlands Antilles,35
New Zealand,33
Nicaragua,30
Nigeria,24
Norway,38.2
Oman,0
Pakistan,20
Panama,25
Papua New Guinea,42
Peru,30
Philippines,35
Poland,32
Portugal,48
Puerto Rico,33
Qatar,0
Romania,10
Russia,13
Saint Kitts and Nevis,0
Saint Lucia,30
Saint Vincent and the Grenadines,30
Samoa,27
Saudi Arabia,0
Senegal,40
Serbia,10
Sierra Leone,15
Singapore,22
Sint Maarten (Dutch part),48
Slovakia,25
Slovenia,50
South Africa,45
Spain,45
Sri Lanka,24
St Maarten,48
Sudan,15
Suriname,38
Swaziland,33
Sweden,57.19
Switzerland,40
Syria,22
Taiwan,40
Tanzania,30
Thailand,35
Trinidad and Tobago,25
Tunisia,35
Turkey,35
Uganda,30
Ukraine,18
United Arab Emirates,0
United Kingdom,45
United States,37
Uruguay,36
Venezuela,34
Vietnam,35
Yemen,15
Zambia,37.5
Zimbabwe,45
Taiwan,
Tanzania,
Thailand,
Trinidad and Tobago,
Tunisia,
Turkey,
Turkmenistan,
Turks and Caicos Islands,
Uganda,
Ukraine,
United Arab Emirates,
United Kingdom,
United States,
Uruguay,
Uzbekistan,
Vanuatu,
Venezuela,
Vietnam,
Yemen,
Zambia,
Zimbabwe,
